Regime,Added_Class,Basis_Size,Train_Acc,Test_Acc,Weight_Norm_C0,Weight_Norm_C1Z,Weight_Norm_C1X,Weight_Norm_C2ZX,Weight_Norm_C2XX,Weight_Norm_CY
linear,C0,1,0.512,0.535,2.6095480333339645e-17,0.0,0.0,0.0,0.0,0.0
linear,C1Z,5,0.998,0.995,9.11530562793383e-15,14.430319918419123,0.0,0.0,0.0,0.0
linear,C1X,9,0.998,0.995,1.0597555473835789e-14,14.405082951695887,0.14599526773311308,0.0,0.0,0.0
linear,C2ZX,21,0.998,0.96,3.4363224630026887e-15,14.182493225741307,0.15958539938087163,0.4366262709504745,0.0,0.0
linear,C2XX,27,1.0,0.975,5.3822643168547556e-15,14.184072406584908,0.05880584353087544,0.4156464556070331,0.17935668410118533,0.0
linear,CY,147,1.0,0.975,5.382264316854757e-15,14.184072406584907,0.05880584353087558,0.415646455607033,0.17935668410118502,0.0
pairwise,C0,1,0.504,0.49,8.881073711104364e-19,0.0,0.0,0.0,0.0,0.0
pairwise,C1Z,5,0.53,0.485,3.4663353823617267e-18,0.09956494146618193,0.0,0.0,0.0,0.0
pairwise,C1X,9,0.558,0.49,5.112947371320686e-18,0.10149469493617601,0.0525627382565219,0.0,0.0,0.0
pairwise,C2ZX,21,0.578,0.495,2.0036262987513484e-17,0.10339857892485502,0.053122820262697205,0.05552686596866777,0.0,0.0
pairwise,C2XX,27,1.0,0.99,7.535985560707285e-15,0.3063040415534099,0.3477215578141262,0.3114569099237598,12.304603001601249,0.0
pairwise,CY,147,1.0,0.99,7.535985560707355e-15,0.3063040415534101,0.3477215578141259,0.31145690992376035,12.304603001601249,0.0
conditional,C0,1,0.512,0.485,2.3650864808904126e-17,0.0,0.0,0.0,0.0,0.0
conditional,C1Z,5,0.536,0.465,4.776601828681955e-17,0.07945892927363807,0.0,0.0,0.0,0.0
conditional,C1X,9,0.558,0.46,6.051274800421983e-17,0.07743267929579761,0.044966677235723965,0.0,0.0,0.0
conditional,C2ZX,21,0.714,0.625,6.844930395763288e-17,0.10890983759573597,0.06810619980806683,0.2923260901905133,0.0,0.0
conditional,C2XX,27,0.714,0.615,8.879469351612303e-17,0.11349741051960205,0.06979531176566416,0.29337947940455833,0.09752004862986295,0.0
conditional,CY,147,0.714,0.615,8.87946935161239e-17,0.11349741051960205,0.06979531176566414,0.29337947940455833,0.09752004862986295,0.0
